host,category
156.234.147.86,only_manual
156.234.147.87,only_manual
156.234.147.88,only_manual
156.234.147.89,only_manual
156.234.147.90,only_manual
156.234.147.91,only_manual
156.234.147.92,only_manual
156.234.147.93,only_manual
156.234.147.94,only_manual
156.234.147.95,only_manual
156.234.147.96,only_manual
156.234.147.97,only_manual
156.234.147.98,only_manual
156.234.147.99,only_manual
156.234.148.100,only_manual
156.234.148.101,only_manual
156.234.148.102,only_manual
156.234.148.103,only_manual
156.234.148.104,only_manual
156.234.148.105,only_manual
156.234.148.106,only_manual
156.234.148.107,only_manual
156.234.148.108,only_manual
156.234.148.109,only_manual
156.234.148.110,only_manual
156.234.148.111,only_manual
156.234.148.112,only_manual
156.234.148.113,only_manual
156.234.148.114,only_manual
156.234.148.115,only_manual
156.234.148.116,only_manual
156.234.148.117,only_manual
156.234.148.118,only_manual
156.234.148.119,only_manual
156.234.148.120,only_manual
156.234.148.121,only_manual
156.234.148.122,only_manual
156.234.148.123,only_manual
156.234.148.124,only_manual
156.234.148.125,only_manual
156.234.148.126,only_manual
156.234.148.65,only_manual
156.234.148.66,only_manual
156.234.148.67,only_manual
156.234.148.68,only_manual
156.234.148.69,only_manual
156.234.148.70,only_manual
156.234.148.71,only_manual
156.234.148.72,only_manual
156.234.148.73,only_manual
156.234.148.74,only_manual
156.234.148.75,only_manual
156.234.148.76,only_manual
156.234.148.77,only_manual
156.234.148.78,only_manual
156.234.148.79,only_manual
156.234.148.80,only_manual
156.234.148.81,only_manual
156.234.148.82,only_manual
156.234.148.83,only_manual
156.234.148.84,only_manual
156.234.148.85,only_manual
156.234.148.86,only_manual
156.234.148.87,only_manual
156.234.148.88,only_manual
156.234.148.89,only_manual
156.234.148.90,only_manual
156.234.148.91,only_manual
156.234.148.92,only_manual
156.234.148.93,only_manual
156.234.148.94,only_manual
156.234.148.95,only_manual
156.234.148.96,only_manual
156.234.148.97,only_manual
156.234.148.98,only_manual
156.234.148.99,only_manual
157.15.77.206,only_manual
157.230.12.60,only_manual
157.245.243.137,only_manual
158.69.148.67,only_manual
158.69.70.70,only_manual
159.203.16.41,only_manual
159.203.47.208,only_manual
159.253.47.238,only_manual
159.89.102.64,only_manual
159.89.140.89,only_manual
160.124.6.198,only_manual
160.124.6.204,only_manual
160.124.6.208,only_manual
160.124.6.209,only_manual
160.124.6.210,only_manual
160.153.59.35,only_manual
160.202.163.107,only_manual
160.202.163.114,only_manual
161.97.187.226,only_manual
161.97.65.37,only_manual
162.0.233.166,only_manual
162.0.233.235,only_manual
162.19.137.15,only_manual
162.19.172.115,only_manual
162.19.25.232,only_manual
162.19.253.79,only_manual
162.211.121.116,only_manual
162.211.121.83,only_manual
162.211.121.97,only_manual
162.211.123.248,only_manual
162.211.123.43,only_manual
162.211.84.55,only_manual
162.215.252.213,only_manual
162.241.70.91,only_manual
162.243.1.139,only_manual
162.243.168.237,only_manual
162.244.253.105,only_manual
162.248.225.154,only_manual
163.172.111.215,only_manual
163.172.120.205,only_manual
163.172.124.156,only_manual
163.172.196.115,only_manual
163.172.211.148,only_manual
163.172.212.238,only_manual
163.172.212.42,only_manual
163.172.227.157,only_manual
163.172.230.141,only_manual
163.172.29.24,only_manual
163.172.38.192,only_manual
163.172.48.192,only_manual
164.132.90.178,only_manual
164.68.99.74,only_manual
164.90.215.104,only_manual
164.92.197.5,only_manual
165.22.69.29,only_manual
165.227.112.224,only_manual
167.114.3.70,only_manual
167.172.98.152,only_manual
167.71.204.90,only_manual
167.99.112.82,only_manual
167.99.66.189,only_manual
170.205.38.120,only_manual
170.64.173.121,only_manual
171.22.255.75,only_manual
172.104.178.125,only_manual
172.105.217.109,only_manual
172.81.119.25,only_manual
172.96.185.44,only_manual
173.0.54.134,only_manual
173.0.54.181,only_manual
173.0.54.182,only_manual
173.0.56.34,only_manual
173.195.100.101,only_manual
173.195.100.117,only_manual
173.201.177.211,only_manual
173.201.38.49,only_manual
173.201.38.51,only_manual
173.201.38.55,only_manual
173.208.136.58,only_manual
